13 156
0.0,100.0
0.0,150.0
50.0,150.0
150.0,250.0
150.0,150.0
100.0,150.0
100.0,0.0
100.0,100.0
100.0,250.0
150.0,0.0
50.0,100.0
0.0,250.0
0.0,0.0
1-2 c
2-3 c
4-5 c
3-6 c
7-8 c
6-9 c
9-4 c
5-10 c
11-8 c
1-11 c
11-3 c
2-12 c
13-1 c
9-12 c
7-10 c
8-6 c
6-5 c
13-7 c
2-1 c
3-2 c
5-4 c
6-3 c
8-7 c
9-6 c
4-9 c
10-5 c
8-11 c
11-1 c
3-11 c
12-2 c
1-13 c
12-9 c
10-7 c
6-8 c
5-6 c
7-13 c
1-3 nc
1-4 nc
1-5 nc
1-6 nc
1-7 nc
1-8 nc
1-9 nc
1-10 nc
1-12 nc
2-4 nc
2-5 nc
2-6 nc
2-7 nc
2-8 nc
2-9 nc
2-10 nc
2-11 nc
2-13 nc
3-1 nc
3-4 nc
3-5 nc
3-7 nc
3-8 nc
3-9 nc
3-10 nc
3-12 nc
3-13 nc
4-1 nc
4-2 nc
4-3 nc
4-6 nc
4-7 nc
4-8 nc
4-10 nc
4-11 nc
4-12 nc
4-13 nc
5-1 nc
5-2 nc
5-3 nc
5-7 nc
5-8 nc
5-9 nc
5-11 nc
5-12 nc
5-13 nc
6-1 nc
6-2 nc
6-4 nc
6-7 nc
6-10 nc
6-11 nc
6-12 nc
6-13 nc
7-1 nc
7-2 nc
7-3 nc
7-4 nc
7-5 nc
7-6 nc
7-9 nc
7-11 nc
7-12 nc
8-1 nc
8-2 nc
8-3 nc
8-4 nc
8-5 nc
8-9 nc
8-10 nc
8-12 nc
8-13 nc
9-1 nc
9-2 nc
9-3 nc
9-5 nc
9-7 nc
9-8 nc
9-10 nc
9-11 nc
9-13 nc
10-1 nc
10-2 nc
10-3 nc
10-4 nc
10-6 nc
10-8 nc
10-9 nc
10-11 nc
10-12 nc
10-13 nc
11-2 nc
11-4 nc
11-5 nc
11-6 nc
11-7 nc
11-9 nc
11-10 nc
11-12 nc
11-13 nc
12-1 nc
12-3 nc
12-4 nc
12-5 nc
12-6 nc
12-7 nc
12-8 nc
12-10 nc
12-11 nc
12-13 nc
13-2 nc
13-3 nc
13-4 nc
13-5 nc
13-6 nc
13-8 nc
13-9 nc
13-10 nc
13-11 nc
13-12 nc
