10 90
0.0,100.0
0.0,150.0
50.0,150.0
100.0,150.0
100.0,0.0
100.0,100.0
100.0,250.0
50.0,100.0
0.0,250.0
0.0,0.0
1-2 c
2-3 c
3-4 c
5-6 c
4-7 c
8-6 c
1-8 c
8-3 c
2-9 c
10-1 c
7-9 c
6-4 c
10-5 c
2-1 c
3-2 c
4-3 c
6-5 c
7-4 c
6-8 c
8-1 c
3-8 c
9-2 c
1-10 c
9-7 c
4-6 c
5-10 c
1-3 nc
1-4 nc
1-5 nc
1-6 nc
1-7 nc
1-9 nc
2-4 nc
2-5 nc
2-6 nc
2-7 nc
2-8 nc
2-10 nc
3-1 nc
3-5 nc
3-6 nc
3-7 nc
3-9 nc
3-10 nc
4-1 nc
4-2 nc
4-5 nc
4-8 nc
4-9 nc
4-10 nc
5-1 nc
5-2 nc
5-3 nc
5-4 nc
5-7 nc
5-8 nc
5-9 nc
6-1 nc
6-2 nc
6-3 nc
6-7 nc
6-9 nc
6-10 nc
7-1 nc
7-2 nc
7-3 nc
7-5 nc
7-6 nc
7-8 nc
7-10 nc
8-2 nc
8-4 nc
8-5 nc
8-7 nc
8-9 nc
8-10 nc
9-1 nc
9-3 nc
9-4 nc
9-5 nc
9-6 nc
9-8 nc
9-10 nc
10-2 nc
10-3 nc
10-4 nc
10-6 nc
10-7 nc
10-8 nc
10-9 nc
